RecordID,StreetID,Date,VehicleID,JobID,Grease
1,6585,01/11/2009,1,2,FALSE
2,6150,02/11/2009,1,3,FALSE
3,6497,02/11/2009,1,9,FALSE
4,5521,04/11/2009,1,2,FALSE
5,6061,04/11/2009,1,10,FALSE
6,6497,04/11/2009,1,9,FALSE
7,6187,04/11/2009,1,1,FALSE
8,4969,05/11/2009,2,1,FALSE
9,4831,05/11/2009,2,1,FALSE
10,5682,05/11/2009,5,4,FALSE
11,4831,09/11/2009,2,1,FALSE
12,5372,09/11/2009,4,4,FALSE
13,5372,09/11/2009,4,4,FALSE
14,5988,09/11/2009,4,4,FALSE
15,5988,09/11/2009,4,4,FALSE
16,5415,09/11/2009,4,4,FALSE
17,5270,09/11/2009,4,4,FALSE
18,5375,09/11/2009,4,4,FALSE
19,6249,09/11/2009,4,4,FALSE
20,6249,09/11/2009,4,4,FALSE
21,6249,09/11/2009,4,4,FALSE
22,5373,09/11/2009,4,4,FALSE
26,6497,01/11/2009,2,9,FALSE
27,6273,01/11/2009,3,8,FALSE
28,4611,02/11/2009,5,4,FALSE
29,6497,06/11/2009,2,9,FALSE
30,6497,02/11/2009,3,9,FALSE
31,6497,02/11/2009,3,3,FALSE
32,6497,03/11/2009,3,9,FALSE
33,6519,03/11/2009,3,2,FALSE
34,4831,04/11/2009,2,1,FALSE
35,6497,04/11/2009,3,9,FALSE
36,6497,05/11/2009,3,9,FALSE
37,6187,03/11/2009,1,1,FALSE
38,6061,03/11/2009,1,2,FALSE
39,7179,03/11/2009,1,2,FALSE
40,6497,03/11/2009,1,9,FALSE
42,8032,30/10/2009,8,1,FALSE
43,7108,02/11/2009,8,1,FALSE
44,7108,02/11/2009,8,1,FALSE
45,8090,02/11/2009,,1,FALSE
46,7108,03/11/2009,8,1,FALSE
47,7108,03/11/2009,8,1,FALSE
48,7765,03/11/2009,8,1,FALSE
49,8621,04/11/2009,8,2,FALSE
50,7195,04/11/2009,8,1,FALSE
51,8146,05/11/2009,8,1,FALSE
52,8621,05/11/2009,8,2,FALSE
53,8504,06/11/2009,8,3,FALSE
54,6497,07/11/2009,8,2,FALSE
55,6497,08/11/2009,8,1,FALSE
56,7249,08/11/2009,8,1,FALSE
57,7602,09/11/2009,8,1,FALSE
58,8024,10/11/2009,8,1,FALSE
59,8759,10/11/2009,,,FALSE
60,5243,10/11/2009,2,2,FALSE
61,5706,10/11/2009,5,4,FALSE
62,5612,10/11/2009,5,4,FALSE
63,4969,10/11/2009,5,4,FALSE
64,4631,10/11/2009,5,4,FALSE
65,6497,09/11/2009,3,9,FALSE
66,6497,10/11/2009,3,9,FALSE
67,6495,11/11/2009,3,9,FALSE
68,4974,12/11/2009,1,11,FALSE
69,4924,12/11/2009,1,11,FALSE
70,6497,06/11/2009,1,9,FALSE
71,6497,12/11/2009,1,9,FALSE
72,5005,12/11/2009,3,2,FALSE
73,6497,14/11/2009,2,9,FALSE
74,6497,15/11/2009,2,9,FALSE
75,4848,11/11/2009,1,1,FALSE
76,4848,13/11/2009,1,1,FALSE
77,8342,14/11/2009,2,2,TRUE
78,5243,11/11/2009,2,2,FALSE
79,5243,12/11/2009,2,9,FALSE
80,5325,11/11/2009,2,2,FALSE
81,4867,12/11/2009,2,2,TRUE
82,5258,09/11/2009,4,4,FALSE
83,8024,10/11/2009,9,1,FALSE
84,8759,10/11/2009,9,1,FALSE
85,8024,09/11/2009,9,2,FALSE
86,7641,09/11/2009,9,1,FALSE
87,5862,,,,FALSE
88,7446,09/11/2009,9,1,FALSE
89,8387,,9,1,FALSE
90,7225,13/11/2009,9,8,FALSE
91,7568,13/11/2009,9,1,FALSE
92,8759,13/11/2009,8,2,FALSE
93,7744,12/11/2009,9,2,FALSE
94,7568,12/11/2009,9,1,FALSE
95,8032,13/11/2009,10,3,FALSE
96,7964,11/11/2009,9,2,FALSE
97,7568,11/11/2009,9,1,FALSE
98,7895,11/11/2009,9,1,FALSE
99,7684,11/11/2009,9,,FALSE
100,7764,12/11/2009,8,2,FALSE
101,7764,12/11/2009,8,2,FALSE
102,6771,16/11/2009,9,,FALSE
103,7765,16/11/2009,9,,FALSE
104,7796,16/11/2009,9,,FALSE
105,7982,16/11/2009,9,,FALSE
106,7859,16/11/2009,9,,FALSE
107,8759,17/11/2009,8,3,FALSE
108,5688,17/11/2009,9,2,FALSE
109,6759,18/11/2009,8,1,FALSE
110,8658,19/11/2009,9,1,FALSE
111,6497,23/11/2009,2,3,FALSE
112,5766,23/11/2009,2,3,FALSE
113,5245,23/11/2009,4,8,FALSE
114,5841,23/11/2009,4,4,FALSE
115,6110,23/11/2009,4,10,FALSE
116,5766,23/11/2009,4,3,FALSE
117,6197,23/11/2009,4,8,FALSE
118,6103,23/11/2009,4,8,FALSE
119,6060,23/11/2009,4,8,FALSE
120,6093,23/11/2009,4,8,FALSE
121,6077,23/11/2009,4,8,FALSE
122,6249,23/11/2009,4,8,FALSE
123,6357,23/11/2009,6,11,FALSE
124,6273,23/11/2009,6,8,FALSE
125,6149,23/11/2009,6,8,FALSE
126,6421,23/11/2009,6,11,FALSE
127,4407,23/11/2009,6,11,FALSE
128,5884,23/11/2009,6,8,FALSE
129,6511,23/11/2009,6,8,FALSE
130,5502,23/11/2009,6,8,FALSE
131,5099,20/11/2009,3,1,FALSE
132,5094,23/11/2009,3,2,FALSE
133,6690,20/11/2009,3,2,FALSE
134,6034,20/11/2009,3,11,FALSE
135,5014,19/11/2009,3,1,FALSE
136,6497,19/11/2009,3,10,FALSE
137,6497,18/11/2009,3,10,FALSE
138,5714,18/11/2009,3,2,FALSE
139,6170,18/11/2009,4,11,FALSE
140,5663,18/11/2009,5,2,FALSE
141,5993,18/11/2009,6,4,FALSE
142,5663,18/11/2009,2,2,FALSE
143,6169,17/11/2009,3,2,FALSE
144,6110,17/11/2009,3,2,FALSE
145,6882,22/11/2009,8,1,FALSE
146,5601,17/11/2009,3,2,FALSE
147,8387,22/11/2009,2,3,FALSE
148,5841,16/11/2009,3,4,FALSE
149,6541,16/11/2009,3,2,FALSE
150,7473,20/11/2009,8,1,FALSE
151,6181,16/11/2009,3,6,TRUE
152,6497,13/11/2009,3,2,FALSE
153,7548,20/11/2009,9,1,FALSE
154,5014,18/11/2009,1,1,FALSE
155,6759,18/11/2009,8,2,FALSE
156,7786,18/11/2009,8,1,FALSE
157,8387,18/11/2009,9,1,FALSE
158,8672,18/11/2009,9,1,FALSE
159,5992,16/11/2009,1,2,FALSE
160,5872,16/11/2009,1,12,FALSE
161,5700,16/11/2009,1,12,FALSE
162,5644,16/11/2009,1,3,FALSE
163,4410,16/11/2009,1,12,FALSE
164,4470,16/11/2009,1,2,FALSE
165,4705,16/11/2009,1,3,FALSE
167,6497,16/11/2009,2,3,FALSE
168,6169,16/11/2009,6,2,FALSE
169,4449,15/11/2009,1,3,FALSE
170,6497,17/11/2009,2,3,FALSE
171,6497,17/11/2009,2,3,FALSE
172,6497,20/11/2009,2,3,FALSE
173,6497,19/11/2009,2,3,FALSE
174,6848,19/11/2009,6,2,FALSE
175,4428,23/11/2009,5,4,FALSE
176,4428,23/11/2009,5,4,FALSE
177,4780,23/11/2009,5,4,FALSE
178,4611,23/11/2009,5,4,FALSE
179,5706,23/11/2009,5,4,FALSE
180,5586,23/11/2009,5,4,FALSE
181,4639,23/11/2009,5,4,FALSE
182,6497,23/11/2009,2,3,FALSE
183,5988,25/11/2009,4,4,FALSE
184,5988,25/11/2009,4,4,FALSE
185,5988,23/11/2009,4,4,FALSE
186,4433,19/11/2009,1,3,FALSE
187,6458,23/11/2009,1,2,FALSE
188,5841,20/11/2009,1,3,FALSE
189,5014,20/11/2009,1,1,FALSE
190,4490,23/11/2009,3,3,FALSE
191,6497,26/11/2009,2,3,FALSE
193,7692,29/11/2009,1,2,FALSE
194,6227,29/11/2009,1,12,FALSE
195,5099,29/11/2009,1,12,FALSE
196,5511,29/11/2009,1,12,FALSE
197,5586,29/11/2009,1,12,FALSE
198,6781,29/11/2009,1,12,FALSE
199,6227,29/11/2009,1,12,FALSE
200,4701,29/11/2009,1,2,FALSE
201,8181,29/11/2009,1,12,FALSE
202,5950,29/11/2009,1,12,FALSE
203,5847,29/11/2009,1,12,FALSE
204,4435,29/11/2009,1,12,FALSE
205,4884,29/11/2009,1,12,FALSE
206,5243,29/11/2009,1,12,FALSE
207,5530,29/11/2009,1,12,FALSE
208,5513,29/11/2009,1,12,FALSE
209,6679,29/11/2009,2,2,FALSE
210,5714,29/11/2009,2,12,FALSE
211,5262,29/11/2009,2,12,FALSE
212,5001,29/11/2009,2,12,FALSE
